Filename,ppg-mpu-hb24
0.11,23.83,1.975,100.256
0.11,23.83,1.975,100.258
0.11,23.83,1.975,100.259
0.11,23.83,1.975,100.260
0.11,23.83,1.975,100.262
0.12,23.83,1.975,100.263
0.12,23.83,1.975,100.265
0.12,23.83,1.975,100.267
0.12,23.83,1.975,100.269
0.12,23.83,1.975,100.270
0.12,23.83,1.975,100.271
0.13,23.83,1.975,100.272
0.13,23.83,1.975,100.274
0.13,23.83,1.975,100.276
0.13,23.83,1.976,100.278
0.13,23.83,1.976,100.279
0.13,23.83,1.976,100.280
0.14,23.83,1.976,100.281
0.14,23.83,1.976,100.282
0.14,23.83,1.976,100.284
0.14,23.83,1.976,100.285
0.14,23.83,1.976,100.287
0.14,23.84,1.976,100.288
0.14,23.84,1.976,100.289
0.15,23.84,1.976,100.290
0.15,23.84,1.976,100.291
0.15,23.84,1.976,100.293
0.15,23.84,1.976,100.295
0.15,23.84,1.976,100.296
0.16,23.84,1.976,100.297
0.16,23.84,1.976,100.298
0.16,23.84,1.976,100.299
0.16,23.84,1.976,100.301
0.16,23.84,1.976,100.302
0.16,23.84,1.976,100.303
0.16,23.84,1.976,100.305
0.17,23.84,1.976,100.306
0.17,23.84,1.976,100.307
0.17,23.84,1.976,100.308
0.17,23.84,1.976,100.309
0.17,23.85,1.976,100.310
0.18,23.85,1.976,100.311
0.18,23.85,1.976,100.312
0.18,23.85,1.976,100.313
0.18,23.85,1.976,100.314
0.18,23.85,1.976,100.315
0.18,23.85,1.976,100.316
0.19,23.85,1.976,100.317
0.19,23.85,1.976,100.319
0.19,23.85,1.976,100.320
0.19,23.85,1.976,100.321
0.19,23.85,1.976,100.322
0.19,23.86,1.976,100.323
0.19,23.86,1.976,100.324
0.20,23.86,1.976,100.325
0.20,23.86,1.976,100.326
0.20,23.86,1.976,100.327
0.20,23.86,1.976,100.328
0.20,23.86,1.977,100.329
0.21,23.86,1.977,100.330
0.21,23.87,1.977,100.331
0.21,23.87,1.977,100.332
0.21,23.87,1.977,100.333
0.21,23.87,1.977,100.335
0.21,23.87,1.977,100.336
0.21,23.87,1.977,100.337
0.22,23.87,1.977,100.338
0.22,23.88,1.977,100.339
0.22,23.88,1.977,100.339
0.22,23.88,1.977,100.341
0.22,23.88,1.977,100.342
0.23,23.88,1.977,100.343
0.23,23.89,1.977,100.344
0.23,23.89,1.977,100.344
0.23,23.89,1.977,100.345
0.23,23.89,1.977,100.346
0.23,23.89,1.977,100.347
0.24,23.90,1.977,100.348
0.24,23.90,1.977,100.349
0.24,23.90,1.977,100.350
0.24,23.90,1.977,100.351
0.24,23.91,1.977,100.352
0.24,23.91,1.977,100.353
0.24,23.91,1.977,100.354
0.25,23.92,1.977,100.355
0.25,23.92,1.977,100.356
0.25,23.92,1.977,100.357
0.25,23.92,1.977,100.358
0.25,23.93,1.977,100.359
0.26,23.93,1.977,100.360
0.26,23.93,1.977,100.361
0.26,23.94,1.977,100.362
0.26,23.94,1.977,100.362
0.26,23.95,1.977,100.363
0.26,23.95,1.977,100.364
0.26,23.95,1.977,100.366
0.27,23.96,1.977,100.367
0.27,23.96,1.977,100.367
0.27,23.97,1.977,100.368
0.27,23.97,1.977,100.369
0.27,23.97,1.977,100.370
0.28,23.98,1.977,100.371
0.28,23.98,1.977,100.372
0.28,23.99,1.977,100.373
0.28,23.99,1.977,100.374
0.28,24.00,1.977,100.374
0.28,24.00,1.977,100.375
0.29,24.01,1.977,100.376
0.29,24.01,1.977,100.377
0.29,24.02,1.977,100.378
0.29,24.03,1.977,100.379
0.29,24.03,1.978,100.380
0.29,24.04,1.978,100.381
0.30,24.04,1.978,100.381
0.30,24.05,1.978,100.382
0.30,24.06,1.978,100.383
0.30,24.06,1.978,100.384
0.30,24.07,1.978,100.385
0.30,24.07,1.978,100.386
0.30,24.08,1.978,100.387
0.31,24.09,1.978,100.388
0.31,24.10,1.978,100.388
0.31,24.10,1.978,100.389
0.31,24.11,1.978,100.390
0.31,24.12,1.978,100.391
0.31,24.13,1.978,100.392
0.32,24.13,1.978,100.393
0.32,24.14,1.978,100.394
0.32,24.15,1.978,100.394
0.32,24.16,1.978,100.395
0.32,24.17,1.978,100.396
0.33,24.17,1.978,100.397
0.33,24.18,1.978,100.399
0.33,24.19,1.978,100.400
0.33,24.20,1.978,100.400
0.33,24.21,1.978,100.400
0.33,24.22,1.978,100.401
0.34,24.23,1.978,100.402
0.34,24.24,1.978,100.403
0.34,24.25,1.978,100.405
0.34,24.26,1.978,100.405
0.34,24.27,1.978,100.406
0.34,24.28,1.978,100.406
0.35,24.29,1.978,100.407
0.35,24.30,1.978,100.408
0.35,24.31,1.978,100.410
0.35,24.32,1.978,100.411
0.35,24.33,1.978,100.411
0.35,24.34,1.978,100.412
0.35,24.35,1.978,100.413
0.36,24.36,1.978,100.413
0.36,24.37,1.978,100.414
0.36,24.38,1.978,100.416
0.36,24.39,1.978,100.417
0.36,24.41,1.978,100.417
0.36,24.42,1.978,100.418
0.37,24.43,1.978,100.419
0.37,24.44,1.978,100.419
0.37,24.45,1.978,100.420
0.37,24.46,1.978,100.421
0.37,24.48,1.978,100.422
0.38,24.49,1.978,100.423
0.38,24.50,1.978,100.424
0.38,24.51,1.978,100.425
0.38,24.52,1.978,100.425
0.38,24.54,1.978,100.426
0.38,24.55,1.978,100.427
0.39,24.56,1.978,100.428
0.39,24.57,1.978,100.429
0.39,24.59,1.978,100.429
0.39,24.60,1.978,100.430
0.39,24.61,1.979,100.430
0.39,24.63,1.979,100.431
0.40,24.64,1.979,100.431
0.40,24.65,1.979,100.432
0.40,24.67,1.979,100.433
0.40,24.68,1.979,100.434
0.40,24.69,1.979,100.434
0.40,24.71,1.979,100.434
0.40,24.72,1.979,100.435
0.41,24.73,1.979,100.435
0.41,24.75,1.979,100.436
0.41,24.76,1.979,100.437
0.41,24.77,1.979,100.438
0.41,24.79,1.979,100.438
0.41,24.80,1.979,100.438
0.42,24.81,1.979,100.438
0.42,24.83,1.979,100.439
0.42,24.84,1.979,100.440
0.42,24.86,1.979,100.440
0.42,24.87,1.979,100.441
0.43,24.88,1.979,100.441
0.43,24.90,1.979,100.441
0.43,24.91,1.979,100.441
0.43,24.92,1.979,100.442
0.43,24.94,1.979,100.442
0.43,24.95,1.979,100.443
0.44,24.97,1.979,100.443
0.44,24.98,1.979,100.443
0.44,24.99,1.979,100.443
0.44,25.01,1.979,100.444
0.44,25.02,1.979,100.444
0.44,25.04,1.979,100.445
0.45,25.05,1.979,100.445
0.45,25.06,1.979,100.445
0.45,25.08,1.979,100.445
0.45,25.09,1.979,100.446
0.45,25.11,1.979,100.446
0.45,25.12,1.979,100.446
0.45,25.13,1.979,100.447
0.46,25.15,1.979,100.447
0.46,25.16,1.979,100.447
0.46,25.17,1.979,100.447
0.46,25.19,1.979,100.447
0.46,25.20,1.979,100.448
0.46,25.22,1.979,100.448
0.47,25.23,1.979,100.448
0.47,25.24,1.979,100.448
0.47,25.26,1.979,100.448
0.47,25.27,1.979,100.449
0.47,25.29,1.979,100.449
0.48,25.30,1.979,100.449
0.48,25.31,1.979,100.449
0.48,25.33,1.979,100.449
0.48,25.34,1.979,100.449
0.48,25.35,1.979,100.450
0.48,25.37,1.979,100.450
0.49,25.38,1.979,100.450
0.49,25.39,1.979,100.450
0.49,25.41,1.979,100.450
0.49,25.42,1.979,100.450
0.49,25.44,1.979,100.450
0.49,25.45,1.979,100.451
0.50,25.46,1.979,100.451
0.50,25.48,1.979,100.451
0.50,25.49,1.979,100.451
0.50,25.50,1.979,100.451
0.50,25.52,1.979,100.451
0.50,25.53,1.979,100.451
0.50,25.54,1.979,100.451
0.51,25.56,1.979,100.451
0.51,25.57,1.979,100.451
0.51,25.58,1.979,100.452
0.51,25.60,1.979,100.452
0.51,25.61,1.979,100.452
0.51,25.62,1.979,100.452
0.52,25.64,1.979,100.452
0.52,25.65,1.979,100.452
0.52,25.66,1.979,100.452
0.52,25.67,1.979,100.452
0.52,25.69,1.979,100.452
0.53,25.70,1.979,100.452
0.53,25.71,1.979,100.452
0.53,25.73,1.979,100.452
0.53,25.74,1.979,100.452
0.53,25.75,1.979,100.452
0.53,25.77,1.979,100.452
0.53,25.78,1.979,100.452
0.54,25.79,1.979,100.452
0.54,25.81,1.979,100.452
0.54,25.82,1.979,100.452
0.54,25.83,1.979,100.452
0.54,25.84,1.979,100.452
0.55,25.86,1.979,100.452
0.55,25.87,1.979,100.452
0.55,25.88,1.979,100.452
0.55,25.90,1.979,100.452
0.55,25.91,1.979,100.452
0.55,25.92,1.979,100.452
0.55,25.94,1.979,100.453
0.56,25.95,1.979,100.454
0.56,25.96,1.979,100.455
0.56,25.98,1.979,100.455
0.56,25.99,1.979,100.455
0.56,26.00,1.979,100.454
0.57,26.02,1.979,100.454
0.57,26.03,1.979,100.454
0.57,26.04,1.979,100.454
0.57,26.06,1.979,100.454
0.57,26.07,1.979,100.454
0.57,26.08,1.979,100.454
0.58,26.10,1.979,100.453
0.58,26.11,1.979,100.453
0.58,26.12,1.979,100.454
0.58,26.14,1.979,100.454
0.58,26.15,1.979,100.454
0.58,26.16,1.979,100.454
0.58,26.18,1.979,100.454
0.59,26.19,1.979,100.454
0.59,26.21,1.979,100.454
0.59,26.22,1.979,100.454
0.59,26.23,1.979,100.454
0.59,26.25,1.979,100.454
0.60,26.26,1.979,100.454
0.60,26.28,1.979,100.454
0.60,26.29,1.979,100.454
0.60,26.31,1.979,100.454
0.60,26.32,1.979,100.454
0.60,26.34,1.979,100.454
0.60,26.35,1.979,100.455
0.61,26.37,1.979,100.455
0.61,26.38,1.979,100.455
0.61,26.40,1.979,100.455
0.61,26.41,1.979,100.455
0.61,26.43,1.979,100.455
0.62,26.44,1.979,100.455
0.62,26.46,1.979,100.455
0.62,26.47,1.979,100.456
0.62,26.49,1.979,100.456
0.62,26.50,1.979,100.456
0.62,26.52,1.979,100.456
0.63,26.54,1.979,100.456
0.63,26.55,1.979,100.456
0.63,26.57,1.979,100.457
0.63,26.58,1.979,100.458
0.63,26.60,1.979,100.458
0.63,26.62,1.979,100.458
0.63,26.63,1.979,100.457
0.64,26.65,1.979,100.457
0.64,26.66,1.979,100.458
0.64,26.68,1.979,100.458
0.64,26.70,1.979,100.459
0.64,26.71,1.979,100.459
0.65,26.73,1.979,100.459
0.65,26.75,1.979,100.460
0.65,26.77,1.979,100.460
0.65,26.78,1.979,100.461
0.65,26.80,1.979,100.461
0.65,26.82,1.979,100.461
0.65,26.83,1.979,100.462
0.66,26.85,1.979,100.462
0.66,26.87,1.979,100.462
0.66,26.89,1.979,100.463
0.66,26.90,1.979,100.463
0.66,26.92,1.979,100.463
0.67,26.94,1.979,100.463
0.67,26.96,1.979,100.464
0.67,26.97,1.979,100.464
0.67,26.99,1.979,100.464
0.67,27.01,1.979,100.464
0.67,27.03,1.979,100.464
0.68,27.04,1.979,100.465
0.68,27.06,1.979,100.465
0.68,27.08,1.979,100.465
0.68,27.10,1.979,100.465
0.68,27.12,1.979,100.466
0.68,27.13,1.979,100.465
0.68,27.15,1.979,100.465
0.69,27.17,1.979,100.466
0.69,27.19,1.979,100.466
0.69,27.21,1.979,100.467
0.69,27.22,1.979,100.467
0.69,27.24,1.979,100.467
0.70,27.26,1.979,100.467
0.70,27.28,1.979,100.466
0.70,27.30,1.979,100.467
0.70,27.31,1.979,100.467
0.70,27.33,1.979,100.467
0.70,27.35,1.979,100.467
0.70,27.37,1.979,100.467
0.71,27.39,1.979,100.467
0.71,27.40,1.979,100.467
0.71,27.42,1.979,100.467
0.71,27.44,1.979,100.467
0.71,27.46,1.979,100.468
0.72,27.48,1.979,100.468
0.72,27.49,1.979,100.467
0.72,27.51,1.979,100.467
0.72,27.53,1.979,100.467
0.72,27.55,1.979,100.467
0.72,27.57,1.979,100.468
0.73,27.58,1.979,100.468
0.73,27.60,1.979,100.467
0.73,27.62,1.979,100.467
0.73,27.64,1.979,100.467
0.73,27.66,1.979,100.467
0.73,27.67,1.979,100.467
0.73,27.69,1.979,100.467
0.74,27.71,1.979,100.467
0.74,27.73,1.979,100.467
0.74,27.74,1.979,100.467
0.74,27.76,1.979,100.467
0.74,27.78,1.979,100.466
0.75,27.80,1.979,100.466
0.75,27.81,1.979,100.466
0.75,27.83,1.979,100.466
0.75,27.85,1.979,100.466
0.75,27.87,1.979,100.466
0.75,27.88,1.979,100.466
0.75,27.90,1.979,100.465
0.76,27.92,1.979,100.465
0.76,27.94,1.979,100.465
0.76,27.95,1.979,100.465
0.76,27.97,1.979,100.465
0.76,27.99,1.979,100.465
0.77,28.00,1.979,100.465
0.77,28.02,1.979,100.464
0.77,28.04,1.979,100.464
0.77,28.05,1.979,100.464
0.77,28.07,1.979,100.464
0.77,28.09,1.979,100.464
0.78,28.10,1.979,100.464
0.78,28.12,1.979,100.463
0.78,28.14,1.979,100.463
0.78,28.15,1.979,100.463
0.78,28.17,1.979,100.463
0.78,28.19,1.979,100.462
0.78,28.20,1.979,100.462
0.79,28.22,1.979,100.462
0.79,28.24,1.979,100.462
0.79,28.25,1.979,100.462
0.79,28.27,1.979,100.462
0.79,28.29,1.979,100.462
0.80,28.30,1.979,100.461
0.80,28.32,1.979,100.461
0.80,28.33,1.979,100.461
0.80,28.35,1.979,100.461
0.80,28.37,1.979,100.461
0.80,28.38,1.979,100.460
0.80,28.40,1.979,100.460
0.81,28.41,1.979,100.460
0.81,28.43,1.979,100.460
0.81,28.44,1.979,100.459
0.81,28.46,1.979,100.459
0.81,28.48,1.979,100.459
0.82,28.49,1.979,100.459
0.82,28.51,1.979,100.459
0.82,28.52,1.979,100.458
0.82,28.54,1.979,100.458
0.82,28.55,1.979,100.458
0.82,28.57,1.979,100.457
0.83,28.58,1.979,100.457
0.83,28.60,1.979,100.457
0.83,28.61,1.979,100.457
0.83,28.63,1.979,100.457
0.83,28.64,1.979,100.456
0.83,28.66,1.979,100.456
0.83,28.68,1.979,100.456
0.84,28.69,1.979,100.456
0.84,28.71,1.979,100.456
0.84,28.72,1.979,100.456
0.84,28.74,1.979,100.456
0.84,28.75,1.979,100.456
0.85,28.77,1.979,100.456
0.85,28.78,1.979,100.456
0.85,28.80,1.979,100.457
0.85,28.81,1.979,100.457
0.85,28.83,1.979,100.456
0.85,28.84,1.979,100.456
0.85,28.86,1.979,100.455
0.86,28.87,1.979,100.455
0.86,28.89,1.979,100.454
0.86,28.90,1.979,100.454
0.86,28.92,1.979,100.454
0.86,28.93,1.979,100.454
0.87,28.95,1.979,100.453
0.87,28.96,1.979,100.453
0.87,28.98,1.979,100.453
0.87,28.99,1.979,100.452
0.87,29.01,1.979,100.452
0.87,29.02,1.979,100.452
0.88,29.04,1.979,100.452
0.88,29.06,1.979,100.452
0.88,29.07,1.979,100.451
0.88,29.09,1.979,100.451
0.88,29.10,1.979,100.451
0.88,29.12,1.979,100.451
0.88,29.13,1.979,100.451
0.89,29.15,1.979,100.451
0.89,29.17,1.979,100.451
0.89,29.18,1.979,100.451
0.89,29.20,1.979,100.450
0.89,29.21,1.979,100.450
0.90,29.23,1.979,100.450
0.90,29.25,1.979,100.450
0.90,29.26,1.979,100.451
0.90,29.28,1.979,100.451
0.90,29.29,1.979,100.451
0.90,29.31,1.979,100.450
0.90,29.33,1.979,100.450
0.91,29.34,1.979,100.450
0.91,29.36,1.979,100.450
0.91,29.38,1.979,100.451
0.91,29.39,1.979,100.451
0.91,29.41,1.979,100.451
0.92,29.43,1.979,100.451
0.92,29.45,1.979,100.451
0.92,29.46,1.979,100.451
0.92,29.48,1.979,100.451
0.92,29.50,1.979,100.451
0.92,29.51,1.979,100.451
0.93,29.53,1.979,100.451
0.93,29.55,1.979,100.451
0.93,29.57,1.979,100.451
0.93,29.58,1.979,100.451
0.93,29.60,1.979,100.452
0.93,29.62,1.979,100.452
0.93,29.64,1.979,100.452
0.94,29.65,1.979,100.452
0.94,29.67,1.979,100.452
0.94,29.69,1.979,100.452
0.94,29.71,1.979,100.452
0.94,29.73,1.979,100.452
0.95,29.74,1.979,100.452
0.95,29.76,1.979,100.452
0.95,29.78,1.979,100.453
0.95,29.80,1.979,100.453
0.95,29.82,1.979,100.453
0.95,29.84,1.979,100.453
0.95,29.85,1.979,100.453
0.96,29.87,1.979,100.453
0.96,29.89,1.979,100.454
0.96,29.91,1.979,100.454
0.96,29.93,1.979,100.454
0.96,29.95,1.979,100.454
0.97,29.97,1.979,100.454
0.97,29.98,1.979,100.454
0.97,30.00,1.979,100.455
0.97,30.02,1.979,100.455
0.97,30.04,1.979,100.455
0.97,30.06,1.979,100.455
0.98,30.08,1.979,100.455
0.98,30.10,1.979,100.455
0.98,30.12,1.979,100.455
0.98,30.13,1.979,100.455
0.98,30.15,1.979,100.455
0.98,30.17,1.979,100.456
0.98,30.19,1.979,100.455
0.99,30.21,1.979,100.455
0.99,30.23,1.979,100.455
0.99,30.25,1.979,100.455
0.99,30.27,1.979,100.455
0.99,30.29,1.979,100.455
1.00,30.30,1.979,100.455
1.00,30.32,1.979,100.455
1.00,30.34,1.979,100.455
1.00,30.36,1.979,100.455
1.00,30.38,1.979,100.455
1.00,30.40,1.979,100.455
1.00,30.42,1.979,100.455
1.01,30.44,1.979,100.455
1.01,30.45,1.979,100.455
1.01,30.47,1.979,100.455
1.01,30.49,1.979,100.455
1.01,30.51,1.979,100.455
1.02,30.53,1.979,100.455
1.02,30.55,1.979,100.455
1.02,30.57,1.979,100.454
1.02,30.58,1.979,100.454
1.02,30.60,1.979,100.454
1.02,30.62,1.979,100.454
1.03,30.64,1.979,100.454
1.03,30.66,1.979,100.453
1.03,30.68,1.979,100.453
1.03,30.69,1.979,100.453
1.03,30.71,1.979,100.453
1.03,30.73,1.979,100.453
1.03,30.75,1.979,100.453
1.04,30.77,1.979,100.452
1.04,30.79,1.979,100.452
1.04,30.80,1.979,100.452
1.04,30.82,1.979,100.452
1.04,30.84,1.979,100.452
1.05,30.86,1.979,100.451
1.05,30.87,1.979,100.451
1.05,30.89,1.979,100.451
1.05,30.91,1.979,100.451
1.05,30.93,1.979,100.450
1.05,30.95,1.979,100.450
1.05,30.96,1.979,100.450
1.06,30.98,1.979,100.450
1.06,31.00,1.979,100.450
1.06,31.02,1.979,100.449
1.06,31.03,1.979,100.449
1.06,31.05,1.979,100.449
1.07,31.07,1.979,100.449
1.07,31.08,1.979,100.448
1.07,31.10,1.979,100.448
1.07,31.12,1.979,100.448
1.07,31.14,1.979,100.448
1.07,31.15,1.979,100.448
1.08,31.17,1.979,100.448
1.08,31.19,1.979,100.448
1.08,31.20,1.979,100.448
1.08,31.22,1.979,100.448
1.08,31.24,1.979,100.448
1.08,31.25,1.979,100.448
1.08,31.27,1.979,100.448
1.09,31.29,1.979,100.447
1.09,31.30,1.979,100.447
1.09,31.32,1.979,100.447
1.09,31.34,1.979,100.446
1.09,31.35,1.979,100.446
1.09,31.37,1.979,100.446
1.10,31.38,1.979,100.445
1.10,31.40,1.979,100.445
1.10,31.42,1.979,100.445
1.10,31.43,1.979,100.444
1.10,31.45,1.979,100.444
1.11,31.47,1.979,100.444
1.11,31.48,1.979,100.444
1.11,31.50,1.979,100.443
1.11,31.51,1.979,100.443
1.11,31.53,1.979,100.442
1.11,31.54,1.979,100.442
1.12,31.56,1.979,100.442
1.12,31.58,1.979,100.442
1.12,31.59,1.979,100.441
1.12,31.61,1.979,100.441
1.12,31.62,1.979,100.441
1.12,31.64,1.979,100.440
1.13,31.65,1.979,100.440
1.13,31.67,1.979,100.440
1.13,31.68,1.979,100.440
1.13,31.70,1.979,100.439
1.13,31.72,1.979,100.439
1.13,31.73,1.979,100.439
1.13,31.75,1.979,100.438
1.14,31.76,1.979,100.438
1.14,31.78,1.979,100.437
1.14,31.79,1.979,100.437
1.14,31.81,1.979,100.437
1.14,31.82,1.979,100.437
1.14,31.84,1.979,100.436
1.15,31.85,1.979,100.436
1.15,31.87,1.979,100.436
1.15,31.88,1.979,100.435
1.15,31.90,1.979,100.435
1.15,31.92,1.979,100.435
1.16,31.93,1.979,100.434
1.16,31.95,1.979,100.434
1.16,31.96,1.979,100.434
1.16,31.98,1.979,100.433
1.16,31.99,1.979,100.433
1.16,32.01,1.979,100.433
1.17,32.02,1.979,100.433
1.17,32.04,1.979,100.432
1.17,32.05,1.979,100.432
1.17,32.07,1.979,100.432
1.17,32.09,1.979,100.432
1.17,32.10,1.979,100.431
1.18,32.12,1.979,100.431
1.18,32.13,1.979,100.431
1.18,32.15,1.979,100.431
1.18,32.17,1.979,100.431
1.18,32.18,1.979,100.431
1.18,32.20,1.979,100.431
1.18,32.21,1.979,100.431
1.19,32.23,1.979,100.431
1.19,32.25,1.979,100.431
1.19,32.26,1.979,100.431
1.19,32.28,1.979,100.431
1.19,32.30,1.979,100.431
1.19,32.31,1.979,100.431
1.20,32.33,1.979,100.431
1.20,32.35,1.979,100.431
1.20,32.36,1.979,100.431
1.20,32.38,1.979,100.431
1.20,32.40,1.979,100.431
1.21,32.41,1.979,100.431
1.21,32.43,1.979,100.431
1.21,32.45,1.979,100.431
1.21,32.46,1.979,100.431
1.21,32.48,1.979,100.431
1.21,32.50,1.979,100.431
1.22,32.52,1.979,100.431
1.22,32.53,1.979,100.431
1.22,32.55,1.979,100.431
1.22,32.57,1.979,100.431
1.22,32.59,1.979,100.431
1.22,32.60,1.979,100.431
1.23,32.62,1.979,100.431
1.23,32.64,1.979,100.432
1.23,32.66,1.979,100.432
1.23,32.68,1.979,100.432
1.23,32.69,1.979,100.432
1.23,32.71,1.979,100.432
1.23,32.73,1.979,100.432
1.24,32.75,1.979,100.432
1.24,32.77,1.979,100.432
1.24,32.79,1.979,100.433
1.24,32.80,1.979,100.433
1.24,32.82,1.979,100.433
1.24,32.84,1.979,100.433
1.25,32.86,1.979,100.433
1.25,32.88,1.979,100.433
1.25,32.90,1.979,100.433
1.25,32.91,1.979,100.433
1.25,32.93,1.979,100.434
1.26,32.95,1.979,100.434
1.26,32.97,1.979,100.434
1.26,32.99,1.979,100.434
1.26,33.01,1.979,100.434
1.26,33.03,1.979,100.434
1.26,33.05,1.979,100.434
1.27,33.06,1.979,100.434
1.27,33.08,1.979,100.434
1.27,33.10,1.979,100.434
1.27,33.12,1.979,100.434
1.27,33.14,1.979,100.434
1.27,33.16,1.979,100.434
1.28,33.18,1.979,100.434
1.28,33.20,1.979,100.434
1.28,33.22,1.979,100.434
1.28,33.23,1.979,100.434
1.28,33.25,1.979,100.434
1.28,33.27,1.979,100.434
1.28,33.29,1.979,100.433
1.29,33.31,1.979,100.433
1.29,33.33,1.979,100.433
1.29,33.35,1.979,100.433
1.29,33.37,1.979,100.433
1.29,33.39,1.979,100.433
1.29,33.40,1.979,100.433
1.30,33.42,1.979,100.433
1.30,33.44,1.979,100.433
1.30,33.46,1.979,100.433
1.30,33.48,1.979,100.432
1.30,33.50,1.979,100.432
1.31,33.52,1.979,100.432
1.31,33.54,1.979,100.432
1.31,33.55,1.979,100.432
